X(E/m),Y(N/m),direction
330199.565524211036973,4156655.497860119212419,1
330199.556688776705414,4156655.498040786013007,1
330199.556461887084879,4156655.486944820731878,1
330199.556461887084879,4156655.486944820731878,1
330199.556461887084879,4156655.486944820731878,1
330199.548080236301757,4156655.509317416232079,1
330199.539471691357903,4156655.520594047848135,1
330199.531090038362890,4156655.542966642417014,1
330199.513872953306418,4156655.565519902389497,1
330199.497109647549223,4156655.610265092924237,1
330199.480119450134225,4156655.643914318177849,1
330199.454747602459975,4156655.699936139397323,1
330199.429148865514435,4156655.744861994870007,1
330199.359146079397760,4156655.779595218598843,1
330199.324711909051985,4156655.824701742269099,1
330199.298886283300817,4156655.858531635254622,1
330199.281896089436486,4156655.892180861439556,1
330199.256297354004346,4156655.937106717377901,1
330199.213027753168717,4156655.982393907848746,1
330199.178593586781062,4156656.027500431519002,1
330199.135550876962952,4156656.083883586805314,1
330199.092508170055225,4156656.140266741625965,1
330199.058300895267166,4156656.196469230577350,1
330199.024093618732877,4156656.252671718597412,1
330198.981277803890407,4156656.320150838699192,1
330198.947297421051189,4156656.387449292000383,1
330198.904254714841954,4156656.443832448218018,1
330198.870274333225098,4156656.511130901984870,1
330198.827458518790081,4156656.578610022086650,1
330198.766744954686146,4156656.635354514699429,1
330198.714866820140742,4156656.691918339114636,1
330198.662988688563928,4156656.748482164926827,1
330198.611110555415507,4156656.805045988876373,1
330198.576676395954564,4156656.850152515806258,1
330198.525252046063542,4156656.928908270783722,1
330198.482663130154833,4156657.007483356632292,1
330198.430784999975003,4156657.064047184307128,1
330198.379360655148048,4156657.142802939750254,1
330198.327709417848382,4156657.210462731309235,1
330198.284893614007160,4156657.277941855136305,1
330198.233469272032380,4156657.356697611976415,1
330198.190653467550874,4156657.424176737200469,1
330198.147837665979750,4156657.491655861027539,1
330198.104794971237425,4156657.548039022367448,1
330198.053143741097301,4156657.615698815323412,1
330197.992657079594210,4156657.683539276011288,1
330197.932170419138856,4156657.751379739027470,1
330197.880292299785651,4156657.807943571824580,1
330197.828414178860839,4156657.864507400430739,1
330197.733947157626972,4156657.999646324198693,1
330197.682069038914051,4156658.056210155598819,1
330197.621809276170097,4156658.135146584361792,-1
330197.561322624329478,4156658.202987049706280,-1
330197.518506829976104,4156658.270466177724302,-1
330197.475917931122240,4156658.349041271489114,-1
330197.432875247905031,4156658.405424435157329,-1
330197.381450919318013,4156658.484180198982358,-1
330197.338635127933230,4156658.551659327931702,-1
330197.286757017835043,4156658.608223162591457,-1
330197.226270372397266,4156658.676063631195575,-1
330197.165783725678921,4156658.743904098402709,-1
330197.105297080008313,4156658.811744567938149,-1
330197.053645866224542,4156658.879404369276017,-1
330196.992932329303585,4156658.936148874461651,-1
330196.941281117266044,4156659.003808673471212,-1
330196.889629903831519,4156659.071468475740403,-1
330196.837751800136175,4156659.128032315056771,-1
330196.786327481851913,4156659.206788081675768,-1
330196.734676273306832,4156659.274447883479297,-1
330196.683025063422974,4156659.342107686214149,-1
330196.631827644072473,4156659.431959417648613,-1
330196.588784970284905,4156659.488342587370425,-1
330196.537360659101978,4156659.567098355386406,-1
330196.494544880581088,4156659.634577490389347,-1
330196.434058249345981,4156659.702417965047061,-1
330196.382180150598288,4156659.758981805294752,-1
330196.321693521225825,4156659.826822280418128,-1
330196.261206890631001,4156659.894662756007165,-1
330196.148842167807743,4156660.019067073706537,-1
330196.096737178508192,4156660.064534952864051,-1
330196.053921408602037,4156660.132014089729637,-1
330195.993434782489203,4156660.199854567181319,1
330195.941783586866222,4156660.267514375038445,1
330195.890132389962673,4156660.335174185223877,1
330195.838481196085922,4156660.402833993081003,1
330195.786830000812188,4156660.470493800938129,1
330195.726116486708634,4156660.527238317765296,1
330195.674238400300965,4156660.583802163135260,1
330195.613751780707389,4156660.651642643380910,1
330195.553038266836666,4156660.708387160208076,1
330195.483716224669479,4156660.776408312842250,1
330195.423229608102702,4156660.844248795881867,0
330195.293420951347798,4156660.980110432021320,0
330195.232934340136126,4156661.047950916923583,0
330195.172447729913983,4156661.115791401825845,0
330195.111961118353065,4156661.183631887193769,0
330195.042865977622569,4156661.262749007903039,0
330194.991441692807712,4156661.341504787560552,0
330194.922119658440351,4156661.409525944385678,0
330194.861633053398691,4156661.477366431616247,0
330194.801146447192878,4156661.545206917915493,0
330194.740886738407426,4156661.624143370427191,0
330194.680400136508979,4156661.691983860451728,0
330194.620140429993626,4156661.770920312497765,0
330194.550818404590245,4156661.838941473048180,0
330194.472660952480510,4156661.907143307384104,0
330194.403565824031830,4156661.986260434146971,0
330194.291201158310287,4156662.110664779786021,0
330194.230714561475907,4156662.178505272138864,0
330194.170227967901155,4156662.246345764957368,0
330194.118803695600946,4156662.325101549271494,0
330194.058770898845978,4156662.415133971255273,0
330193.998284306144342,4156662.482974465470761,0
330193.946860037045553,4156662.561730251181871,0
330193.895435771206394,4156662.640486037824303,0
330193.843784606433474,4156662.708145860582590,0
330193.783524917787872,4156662.787082319147885,0
330193.723265228210948,4156662.866018780507147,0
330193.654170117457397,4156662.945135915186256,0
330193.593683532206342,4156663.012976410798728,0
330193.542032374476548,4156663.080636235419661,0
330193.429667734773830,4156663.205040593631566,0
330193.377789681311697,4156663.261604455299675,0
330193.326365423155949,4156663.340360245667398,0
330193.266105744347442,4156663.419296709820628,0
330193.197237539221533,4156663.509509813040495,0
330193.136977862915955,4156663.588446278125048,0
330193.085326710483059,4156663.656106104608625,0
330193.051346408494283,4156663.723404584918171,0
330192.990632935194299,4156663.780149124097079,0
330192.938981785089709,4156663.847808952908963,0
330192.887557537353132,4156663.926564745139331,0
330192.827070967992768,4156663.994405248202384,0
330192.757975873304531,4156664.073522390797734,0
330192.697489303885959,4156664.141362894792110,0
330192.593733217567205,4156664.254490628372878,0
330192.550917499233037,4156664.321969786193222,0
330192.499266356346197,4156664.389629616867751,0
330192.438779793737922,4156664.457470122724771,0
330192.378520129597746,4156664.536406592931598,0
330192.327095891640056,4156664.615162390749902,0
330192.284280175284948,4156664.682641549035907,0
330192.232855939248111,4156664.761397347785532,0
330192.190040224348195,4156664.828876507002860,0
330192.138389090076089,4156664.896536340471357,0
330192.086737954348791,4156664.964196175336838,0
330192.026478299754672,4156665.043132649268955,0
330191.974827165831812,4156665.110792485065758,0
330191.914340613060631,4156665.178632995579392,0
330191.854080959339626,4156665.257569469511509,0
330191.802429828327149,4156665.325229307170957,0
330191.750324898981489,4156665.370697214733809,0
330191.647249544039369,4156665.517112854402512,0
330191.586989895615261,4156665.596049330662936,0
330191.535111870151013,4156665.652613205835223,0
330191.483687645406462,4156665.731369007378817,0
330191.440871944301762,4156665.798848172184080,0
330191.389220820157789,4156665.866508011240512,0
330191.337569699157029,4156665.934167851228267,0
330191.286145478137769,4156666.012923655100167,0
330191.225658937764820,4156666.080764172133058,0
330191.165172395994887,4156666.148604689165950,0
330191.104685855330899,4156666.216445204336196,0
330190.992548202455509,4156666.351945564616472,0
330190.888792167999782,4156666.465073320548981,0
330190.785716842685360,4156666.611488972324878,0
330190.734065729193389,4156666.679148816503584,0
330190.682641521096230,4156666.757904624100775,0
330190.640052732196636,4156666.836479757912457,0
330190.606072464492172,4156666.903778249863535,0
330190.563256774679758,4156666.971257418859750,0
330190.502770247403532,4156667.039097940083593,0
330190.451346041634679,4156667.117853750474751,0
330190.391086419112980,4156667.196790239308029,0
330190.330826795427129,4156667.275726726278663,0
330190.209853748092428,4156667.411407773848623,0
330190.157748838537373,4156667.456875693053007,0
330190.114933157747146,4156667.524354862980545,0
330190.020239473262336,4156667.648397919721901,0
330189.959752953378484,4156667.716238446068019,0
330189.899493339937180,4156667.795174936763942,0
330189.847842241462786,4156667.862834786996245,0
330189.805253468919545,4156667.941409924533218,0
330189.753148565068841,4156667.986877845134586,0
330189.701497471309267,4156668.054537697229534,0
330189.640784053364769,4156668.111282260622829,0
330189.589359865058213,4156668.190038077067584,0
330189.529100256622769,4156668.268974571023136,0
330189.407900333288126,4156668.393559667747468,0
330189.356022340827622,4156668.450123555026948,0
330189.313206669758074,4156668.517602731939405,0
330189.261328678810969,4156668.574166622012854,0
330189.209450686350465,4156668.630730512086302,0
330189.088704582303762,4156668.777507542166859,0
330189.037053496809676,4156668.845167397521436,0
330188.994010928203352,4156668.901550611481071,0
330188.942132941796444,4156668.958114502020180,0
330188.899090372142382,4156669.014497715979815,0
330188.847439292061608,4156669.082157573197037,0
330188.786952792550437,4156669.149998108390719,0
330188.726466294028796,4156669.217838645447046,0
330188.666206703870557,4156669.296775146387517,0
330188.562450739205815,4156669.409902933519334,0
330188.510572756873444,4156669.466466828715056,0
330188.450086265220307,4156669.534307366702706,0
330188.397981378890108,4156669.579775297548622,0
330188.337267981143668,4156669.636519871652126,0
330188.276781492168084,4156669.704360411968082,0
330188.225130421691574,4156669.772020272910595,0
330188.173479349818081,4156669.839680133853108,0
330188.121828278759494,4156669.907339995261282,0
330188.069950304809026,4156669.963903892785311,0
330188.018072329345159,4156670.020467791706324,0
330187.957585845957510,4156670.088308333419263,0
330187.897326267440803,4156670.167244840413332,0
330187.836839786090422,4156670.235085383523256,0
330187.707031405065209,4156670.370947151444852,0
330187.646318020240869,4156670.427691730204970,0
330187.585604634019546,4156670.484436312224716,0
330187.533499758457765,4156670.529904248192906,0
330187.481848699389957,4156670.597564113326371,0
330187.421362224617042,4156670.665404659230262,0
330187.378546581487171,4156670.732883847318590,0
330187.326895522768609,4156670.800543714780360,0
330187.275244467076845,4156670.868203582242131,0
330187.223366502847057,4156670.924767484888434,0
330187.171715448901523,4156670.992427353281528,0
330187.120064393500797,4156671.060087221208960,0
330187.068186433927622,4156671.116651127580553,0
330187.007699966430664,4156671.184491677209735,0
330186.895562448247802,4156671.319992097560316,0
330186.843684489547741,4156671.376556003931910,0
330186.782744208117947,4156671.422204624861479,0
330186.730866253026761,4156671.478768532630056,0
330186.688050620025024,4156671.546247721649706,0
330186.627564158872701,4156671.614088275004178,0
330186.566850788425654,4156671.670832864940166,0
330186.515199744724669,4156671.738492737989873,0
330186.454713284212630,4156671.806333291810006,0
330186.402835333952680,4156671.862897200975567,0
330186.359792797244154,4156671.919280427973717,0
330186.307687939843163,4156671.964748372789472,0
330186.256036897830199,4156672.032408247701824,0
330186.195323535357602,4156672.089152839966118,0
330186.065288302255794,4156672.213918669614941,0
330186.004801848903298,4156672.281759227626026,0
330185.943861581035890,4156672.327407856471837,0
330185.900365231907926,4156672.361599158030003,0
330185.787773931981064,4156672.474907664116472,0
330185.727060573757626,4156672.531652260106057,0
330185.666574125643820,4156672.599492820911109,0
330185.606087680789642,4156672.667333380319178,0
330185.554209739493672,4156672.723897295072675,0
330185.493723296502139,4156672.791737857274711,0
330185.441845356777776,4156672.848301772959530,0
330185.381132003618404,4156672.905046370346099,0
330185.320645563420840,4156672.972886933479458,0
330185.190383449662477,4156673.086556814145297,0
330185.121061596204527,4156673.154578061308712,0
330185.060575159848668,4156673.222418625373393,0
330184.990799487975892,4156673.268247943371534,0
330184.930086141044740,4156673.324992546811700,0
330184.817721775965765,4156673.449397033080459,0
330184.757008431479335,4156673.506141635589302,0
330184.635808658204041,4156673.630726807285100,0
330184.575322229531594,4156673.698567376472056,0
330184.523671212838963,4156673.766227263025939,0
330184.480628701392561,4156673.822610500734299,0
330184.428523864131421,4156673.868078460451216,0
330184.367583616520278,4156673.913727101404220,0
330184.306870278553106,4156673.970471707172692,0
330184.177062017377466,4156674.106333534233272,0
330184.107286357728299,4156674.152162860613316,0
330184.046573025581893,4156674.208907468244433,0
330183.985632780240849,4156674.254556111991405,0
330183.924692535540089,4156674.300204756204039,0
330183.863979205780197,4156674.356949367094785,0
330183.794657373917289,4156674.424970625434071,0
330183.734170957992319,4156674.492811202071607,0
330183.664622216136195,4156674.549736496526748,0
330183.595300387474708,4156674.617757756728679,0
330183.534813972364645,4156674.685598333831877,0
330183.474100648076274,4156674.742342947050929,0
330183.352673999732360,4156674.855832174886018,0
330183.214257268991787,4156675.002970666624606,0
330183.084222126868553,4156675.127736547030509,0
330183.014673394733109,4156675.184661848470569,0
330182.962795489584096,4156675.241225780919194,0
330182.910917582747061,4156675.297789713367820,0
330182.850431180559099,4156675.365630296058953,0
330182.790171692788135,4156675.444566844031215,0
330182.651528066257015,4156675.580609380733222,0
330182.591268579824828,4156675.659545931499451,0
330182.539390680496581,4156675.716109866276383,0
330182.478677368373610,4156675.772854486946017,0
330182.339579926570877,4156675.886705100070685,0
330182.278866617125459,4156675.943449723534286,0
330182.218380225007422,4156676.011290310416371,0
330182.157666917191818,4156676.068034934345633,0
330182.027177981217392,4156676.170608901884407,0
330181.975300086662173,4156676.227172840852290,0
330181.914586784434505,4156676.283917467109859,0
330181.862935806158930,4156676.351577371824533,0
330181.793614007649012,4156676.419598647858948,0
330181.724065297574271,4156676.476523962337524,0
330181.663351996568963,4156676.533268588129431,0
330181.602638698765077,4156676.590013215318322,0
330181.541925399505999,4156676.646757842972875,0
330181.420271890354343,4156676.749151135794818,0
330181.368394005927257,4156676.805715078953654,0
330181.299072215275373,4156676.873736360110343,0
330181.220688100089319,4156676.930842364206910,0
330181.159974808164407,4156676.987586994655430,0
330181.090199189144187,4156677.033416349906474,0
330181.038094390649348,4156677.078884328715503,0
330180.977154185122345,4156677.124532996211201,0
330180.925049387849867,4156677.170000977814198,0
330180.794787400460336,4156677.283670931588858,0
330180.734301028132904,4156677.351511531043798,0
330180.673587742610835,4156677.408256166614592,0
330180.604265962727368,4156677.476277453824878,0
330180.491901720000897,4156677.600682003889233,0
330180.431188435759395,4156677.657426641788334,0
330180.370475154719315,4156677.714171278290451,0
330180.300926462979987,4156677.771096603013575,0
330180.231604689091910,4156677.839117894880474,0
330180.162282918696292,4156677.907139186281711,0
330180.092507312772796,4156677.952968547586352,0
330180.022731707605999,4156677.998797912150621,0
330179.970626923313830,4156678.044265899341553,0
330179.875479680486023,4156678.146117152180523,0
330179.814766404510010,4156678.202861794270575,0
330179.754053131560795,4156678.259606434963644,0
330179.693112939479761,4156678.305255112703890,0
330179.572140231262892,4156678.440936328377575,0
330179.528870858484879,4156678.486223632004112,0
330179.468157589551993,4156678.542968275956810,0
330179.416052811779082,4156678.588436267804354,0
330179.346504133893177,4156678.645361600443721,0
330179.286017783510033,4156678.713202212471515,0
330179.225304517953191,4156678.769946858752519,0
330179.164364332507830,4156678.815595540218055,0
330179.094815660500899,4156678.872520876117051,0
330179.042710884474218,4156678.917988870758563,0
330178.990606111357920,4156678.963456864934415,0
330178.938728255336173,4156679.020020823460072,0
330178.878014992224053,4156679.076765473000705,0
330178.817528651154134,4156679.144606087356806,0
330178.687493640696630,4156679.269372041337192,0
330178.618171895039268,4156679.337393346708268,0
330178.557685555773787,4156679.405233963392675,0
330178.496745380864013,4156679.450882650446147,0
330178.436032123980112,4156679.507627304177731,0
