X(E/m),Y(N/m)
330198.421896049287170,4156662.681134457234293
330198.391092183883302,4156662.903776414692402
330198.384071892825887,4156662.992724798154086
330198.368896852945909,4156663.115141740068793
330198.353494921815582,4156663.226462719962001
330198.329484456975479,4156663.349060331005603
330198.272855002433062,4156663.605532187037170
330198.207843910320662,4156663.884376639034599
330198.133997400116641,4156664.163401762023568
330198.110440728720278,4156664.308191301766783
330198.077821743325330,4156664.442065546754748
330197.986758183687925,4156664.743643936701119
330197.913365475600585,4156665.044860988855362
330197.831364244397264,4156665.357354677282274
330197.767033865326084,4156665.669487028848380
330197.684578861924820,4156665.959788789041340
330197.620021599461325,4156666.260825177654624
330197.546175135998055,4156666.539850307162851
330197.462812578305602,4156666.785768214613199
330197.362232972751372,4156667.054239388089627
330197.288613422540948,4156667.344360484741628
330197.215220769518055,4156667.645577547606081
330197.123930390749592,4156667.936059984844178
330197.041475437930785,4156668.226361754350364
330196.976918222324457,4156668.527398150414228
330196.935917646449525,4156668.683645000215620
330196.903752490470652,4156668.839711180422455
330196.871360439457931,4156668.984681398607790
330196.830132974311709,4156669.129832284990698
330196.756286569638178,4156669.408857423812151
330196.700564793893136,4156669.709713154006749
330196.636007608380169,4156670.010749553330243
330196.595007046009414,4156670.166996406391263
330196.512325246876571,4156670.446202218532562
330196.438932657474652,4156670.747419291175902
330196.356931553455070,4156671.059913000091910
330196.316157900262624,4156671.227255818899721
330196.233703016536310,4156671.517557600047439
330196.160083554219455,4156671.807678711600602
330196.095526407822035,4156672.108715118374676
330196.054752764233854,4156672.276057938579470
330195.989741837605834,4156672.554902417585254
330195.907060086145066,4156672.834108239505440
330195.842502961808350,4156673.135144649073482
330195.769110427470878,4156673.436361730098724
330195.695491003221832,4156673.726482846774161
330195.613036172289867,4156674.016784636769444
330195.539643656346016,4156674.318001721985638
330195.449034117627889,4156674.641772079281509
330195.367259994149208,4156674.965361766982824
330195.309042459470220,4156675.144161900039762
330195.218206042074598,4156675.456836296245456
330195.136658836971037,4156675.791521951556206
330195.054430950433016,4156676.092919713817537
330194.954759145446587,4156676.405774785205722
330194.872758166049607,4156676.718268515076488
330194.781694891164079,4156677.019846952985972
330194.699467030586675,4156677.321244720369577
330194.658466550637968,4156677.477491586934775
330194.608630665752571,4156677.633919126354158
330194.535238227574155,4156677.935136221814901
330194.444628775352612,4156678.258906595874578
330194.362627840717323,4156678.571400332264602
330194.330689683090895,4156678.738562492653728
330194.289689221186563,4156678.894809362012893
330194.207688298018184,4156679.207303101662546
330194.134068996063434,4156679.497424237895757
330194.093068542657420,4156679.653671108651906
330194.051841189968400,4156679.798822015523911
330194.002005333546549,4156679.955249559599906
330193.960777984349988,4156680.100400466006249
330193.887385597918183,4156680.401617570314556
330193.805611612508073,4156680.725207280833274
330193.764838069910184,4156680.892550118267536
330193.724064531328622,4156681.059892955236137
330193.700734905432910,4156681.215778481680900
330193.659961368073709,4156681.383121320046484
330193.604693617438897,4156681.706169012002647
330193.531528161896858,4156682.018482087180018
330193.499363137467299,4156682.174548287875950
330193.467425016278867,4156682.341710454318672
330193.435259996971581,4156682.497776655480266
330193.411930382542778,4156682.653662182856351
330193.365044254926033,4156682.954337273724377
330193.309322728659026,4156683.255193039309233
330193.268322314252146,4156683.411439915653318
330193.227321901824325,4156683.567686793394387
330193.186548388912342,4156683.735029635485262
330193.154383382119704,4156683.891095838043839
330193.098888772539794,4156684.203047570306808
330193.043394167907536,4156684.514999303966761
330193.011229167983402,4156684.671065508853644
330192.979064169456251,4156684.827131712343544
330192.946899170055985,4156684.983197916299105
330192.914507273701020,4156685.128168156370521
330192.859239587793127,4156685.451215857639909
330192.818239193526097,4156685.607462737243623
330192.777465704130009,4156685.774805583059788
330192.736465313413646,4156685.931052461732179
330192.695918728713877,4156686.109491274226457
330192.646309845265932,4156686.277014793362468
330192.614144859719090,4156686.433081001043320
330192.541660199640319,4156686.778681983239949
330192.509722122282255,4156686.945844155270606
330192.468948647612706,4156687.113187002483755
330192.436556768429000,4156687.258157245349139
330192.395556395815220,4156687.414404128678143
330192.363391420920379,4156687.570470335427672
330192.330999548081309,4156687.715440580155700
330192.275731909438036,4156688.038488287013024
330192.261010833783075,4156688.183097180444747
330192.228618965949863,4156688.328067424241453
330192.205289398669265,4156688.483952958602458
330192.172897531185299,4156688.628923202864826
330192.140278765233234,4156688.762797481846064
330192.116722299542744,4156688.907587052322924
330192.093165834725369,4156689.052376620937139
330192.069836270762607,4156689.208262155298144
330192.014568656508345,4156689.531309866346419
330191.999620689952280,4156689.664822795428336
330191.976064228103496,4156689.809612364973873
330191.952734671765938,4156689.965497900266200
330191.946849005529657,4156690.109926119912416
330191.950025637401268,4156690.265269627328962
330191.944366874056868,4156690.420793811324984
330191.938708111236338,4156690.576317995321006
330191.932822446455248,4156690.720746214967221
330191.926936779869720,4156690.865174433682114
330191.903380326402839,4156691.009964004158974
330191.888432366191410,4156691.143476935569197
330191.899990589707159,4156691.276447837240994
330191.897054658853449,4156691.565123600419611
330191.916540666483343,4156691.653529968578368
330191.918355886009522,4156691.742297687567770
330191.902273415355012,4156691.820330791175365
330191.894572533899918,4156691.875991294160485
330191.878036258858629,4156691.931832469534129
