X(E/m),Y(N/m)
330160.657826488488354,4156673.321863912511617
330160.807574654812925,4156673.296599940862507
330160.947579637402669,4156673.227132818195969
330161.114317811152432,4156673.168219540733844
330161.280602100887336,4156673.087114335969090
330161.455948752816767,4156673.016924392897636
330161.604562220745720,4156672.936180611141026
330161.797806647489779,4156672.876725222915411
330161.999659553170204,4156672.805993170943111
330162.175006216391921,4156672.735803242307156
330162.323846634186339,4156672.666155437938869
330162.516864133533090,4156672.595604104921222
330162.710562456049956,4156672.558340671472251
330162.912415376165882,4156672.487608640454710
330163.087988992396276,4156672.428514696657658
330163.272398024448194,4156672.369240052066743
330163.465188598551322,4156672.287592776119709
330163.658659992623143,4156672.239233399741352
330163.834687495778780,4156672.202331403270364
330164.028385831741616,4156672.165068000089377
330164.221857231284957,4156672.116708638146520
330164.406039339257404,4156672.046338052954525
330164.572777558001690,4156671.987424846738577
330164.766248964180704,4156671.939065495971590
330164.959493435453624,4156671.879610185511410
330165.126685532159172,4156671.842888921964914
330165.302486112108454,4156671.794890990480781
330165.522917647031136,4156671.768181479070336
330165.725224478926975,4156671.719641447532922
330165.909860480518546,4156671.671462827827781
330166.112394251918886,4156671.634018770884722
330166.332371922442690,4156671.585117350798100
330166.516780994890723,4156671.525842780712992
330166.683519234706182,4156671.466929615940899
330166.868382180691697,4156671.429846982937306
330167.070462092931848,4156671.370211021043360
330167.237427273183130,4156671.322393835056573
330167.421609423297923,4156671.252023317385465
330167.614853926468641,4156671.192568070255220
330167.816706915793475,4156671.121836161240935
330167.992280590755399,4156671.062742324080318
330168.150183432153426,4156671.004009892232716
330168.335273325792514,4156670.978023255709559
330168.519909356022254,4156670.929844695609063
330168.686193756235298,4156670.848739644046873
330168.861767442314886,4156670.789645825047046
330169.046857342123985,4156670.763659206684679
330169.231266449321993,4156670.704384697135538
330169.389169305039104,4156670.645652288571000
330169.564969930448569,4156670.597654449753463
330169.749605974939186,4156670.549475916661322
330169.943077438627370,4156670.501116688828915
330170.109588790102862,4156670.431107631418854
330170.285389423370361,4156670.383109809830785
330170.478860893461388,4156670.334750594571233
330170.672105436387938,4156670.275295420084149
330170.838616797816940,4156670.205286376643926
330171.005128164135385,4156670.135277337860316
330171.207661989668850,4156670.097833408508450
330171.392071124748327,4156670.038558947388083
330171.540684732608497,4156669.957815348170698
330171.733929290669039,4156669.898360197898000
330171.918565360945649,4156669.850181714631617
330172.094366012839600,4156669.802183931227773
330172.260877396678552,4156669.732174918521196
330172.427615707798395,4156669.673261871561408
330172.603189441491850,4156669.614168134052306
330172.778990103979595,4156669.566170365549624
330172.928284511144739,4156669.518714687321335
330173.095249758916907,4156669.470897620543838
330173.271050424431451,4156669.422899862285703
330173.447078019496985,4156669.385998071171343
330173.604980928590521,4156669.327265745960176
330173.789843945298344,4156669.290183269418776
330173.965644617914222,4156669.242185526061803
330174.150280713220127,4156669.194007093086839
330174.317245973274112,4156669.146190051455051
330174.492819727340247,4156669.087096355855465
330174.677455828525126,4156669.038917934056371
330174.843967247055843,4156668.968908973038197
330175.010932512639556,4156668.921091945841908
330175.195341696904507,4156668.861817571800202
330175.370915464649443,4156668.802723893430084
330175.528591471840627,4156668.732895639259368
330175.686948251095600,4156668.696355283260345
330175.871357444440946,4156668.637080925051123
330176.064828978967853,4156668.588721842039376
330176.232021181960590,4156668.552000805735588
330176.407821884029545,4156668.504003116395324
330176.583395664463751,4156668.444909464102238
330176.768031789804809,4156668.396731090266258
330176.943605576874688,4156668.337637446820736
330177.119633205118589,4156668.300735736265779
330177.304269336163998,4156668.252557375468314
330177.497740888618864,4156668.204198326449841
330177.673541603959166,4156668.156200663186610
330177.849569240643177,4156668.119298969861120
330178.060711637954228,4156668.070578556042165
330178.245120857260190,4156668.011304249521345
330178.421375417616218,4156667.985498532652855
330178.606238480191678,4156667.948416165541857
330178.808318547264207,4156667.888780494220555
330178.992954693152569,4156667.840602172538638
330179.159693085704930,4156667.781689263414592
330179.326658397912979,4156667.733872326556593
330179.510840717353858,4156667.663502084091306
330179.677579114446416,4156667.604589187540114
330179.844090599159244,4156667.534580330364406
330180.011055917420890,4156667.486763406079262
330180.186856659827754,4156667.438765796832740
330180.353595067746937,4156667.379852915182710
330180.502889550989494,4156667.332397374324501
330180.660792542621493,4156667.273665185552090
330180.818922449601814,4156667.226028963457793
330180.976825445191935,4156667.167296780738980
330181.125893020187505,4156667.108745287172496
330181.302147605514619,4156667.082939631771296
330181.469339854316786,4156667.046218701638281
330181.636305192369036,4156666.998401810415089
330181.794888939824887,4156666.972957538440824
330181.979752033832483,4156666.935875246301293
330182.146717376541346,4156666.888058364856988
330182.313909632095601,4156666.851337454281747
330182.481101891258731,4156666.814616543706506
330182.674800414126366,4156666.777353583835065
330182.859663517796434,4156666.740271312184632
330183.017793445324060,4156666.692635132931173
330183.166634131455794,4156666.622987711802125
330183.333372571796644,4156666.564074891619384
330183.508946437621489,4156666.504981389734894
330183.658014040149283,4156666.446429942268878
330183.815917068102863,4156666.387697815429419
330183.982882430544123,4156666.339880970306695
330184.149847792461514,4156666.292064132168889
330184.325648579746485,4156666.244066612329334
330184.492387037142180,4156666.185153814032674
330184.668187825940549,4156666.137156302575022
330184.843988618988078,4156666.089158793911338
330185.010727082611993,4156666.030246009118855
330185.177692455705255,4156665.982429188676178
330185.353493254398927,4156665.934431692119688
330185.529747870867141,4156665.908626127988100
330185.696940159832593,4156665.871905284933746
330185.872967869625427,4156665.835003762040287
330186.057604096480645,4156665.786825600545853
330186.251529563218355,4156665.760658689308912
330186.427557279414032,4156665.723757178988308
330186.621028933150228,4156665.675398347433656
330186.823336010798812,4156665.626858840696514
330187.016353854560293,4156665.556308089289814
330187.192154668620788,4156665.508310632314533
330187.367728580313269,4156665.449217214714736
330187.551911010057665,4156665.378847155254334
330187.735412724548951,4156665.275189206935465
330187.910532830574084,4156665.193903871811926
330188.103777598007582,4156665.134449111297727
330188.296795462723821,4156665.063898390624672
330188.472596295585390,4156665.015900960657746
330188.639334800711367,4156664.956988248042762
330188.814681828313041,4156664.886798897292465
330188.990028858650476,4156664.816609548404813
330189.147478140075691,4156664.735685597173870
330189.296092001488432,4156664.654942325316370
330189.471665944089182,4156664.595848951023072
330189.646559178654570,4156664.503467688802630
330189.830287840042729,4156664.410905752796680
330189.996799465036020,4156664.340897104702890
330190.163311090436764,4156664.270888459403068
330190.329595818242524,4156664.189783853013068
330190.487045123532880,4156664.108859925996512
330190.644721336080693,4156664.039031967055053
330190.820295297889970,4156663.979938624892384
330190.995188559289090,4156663.887557392008603
330191.170308725908399,4156663.806272126268595
330191.336366568633821,4156663.714071576017886
