stamp,ori_x,ori_y,ori_z,ori_w
1756981204.843264,0.0,0.0,0.0,1.0
1756981204.8433025,0.0,0.0,0.0,1.0
1756981204.8433216,0.0,0.0,0.0,1.0
1756981204.843338,0.0,0.0,0.0,1.0
1756981204.843354,0.0,0.0,0.0,1.0
1756981204.8433723,0.0,0.0,0.0,1.0
1756981204.8433893,0.0,0.0,0.0,1.0
1756981204.8611858,0.0,0.0,0.0,1.0
1756981204.8612256,0.0,0.0,0.0,1.0
1756981204.86126,0.0,0.0,0.0,1.0
1756981204.8612773,0.0,0.0,0.0,1.0
1756981204.8612955,0.0,0.0,0.0,1.0
1756981204.8613117,0.0,0.0,0.0,1.0
1756981204.8613288,0.0,0.0,0.0,1.0
1756981204.8793182,0.0,0.0,0.0,1.0
1756981204.8921554,0.0,0.0,0.0,1.0
1756981204.8922029,0.0,0.0,0.0,1.0
1756981204.8922231,0.0,0.0,0.0,1.0
1756981204.8922436,0.0,0.0,0.0,1.0
1756981204.8922625,0.0,0.0,0.0,1.0
1756981204.8922799,0.0,0.0,0.0,1.0
1756981204.8922968,0.0,0.0,0.0,1.0
1756981204.9128897,0.0,0.0,0.0,1.0
1756981204.9129267,0.0,0.0,0.0,1.0
1756981204.9129355,0.0,0.0,0.0,1.0
1756981204.912944,0.0,0.0,0.0,1.0
1756981204.9129522,0.0,0.0,0.0,1.0
1756981204.9129596,0.0,0.0,0.0,1.0
1756981204.9129684,0.0,0.0,0.0,1.0
1756981204.9285707,0.0,0.0,0.0,1.0
1756981204.9286294,0.0,0.0,0.0,1.0
1756981204.9286487,0.0,0.0,0.0,1.0
1756981204.9286673,0.0,0.0,0.0,1.0
1756981204.9286857,0.0,0.0,0.0,1.0
1756981204.9287035,0.0,0.0,0.0,1.0
1756981204.928721,0.0,0.0,0.0,1.0
1756981204.948556,0.0,0.0,0.0,1.0
1756981204.948591,0.0,0.0,0.0,1.0
1756981204.948601,0.0,0.0,0.0,1.0
1756981204.9486108,0.0,0.0,0.0,1.0
1756981204.9486194,0.0,0.0,0.0,1.0
1756981204.9486282,0.0,0.0,0.0,1.0
1756981204.9486368,0.0,0.0,0.0,1.0
1756981204.9640667,0.0,0.0,0.0,1.0
1756981204.9641063,0.0,0.0,0.0,1.0
1756981204.9641256,0.0,0.0,0.0,1.0
1756981204.9641438,0.0,0.0,0.0,1.0
1756981204.9641607,0.0,0.0,0.0,1.0
1756981204.9641774,0.0,0.0,0.0,1.0
1756981204.964195,0.0,0.0,0.0,1.0
1756981204.979331,0.0,0.0,0.0,1.0
1756981204.9851174,0.0,0.0,0.0,1.0
1756981204.9851475,0.0,0.0,0.0,1.0
1756981204.985171,0.0,0.0,0.0,1.0
1756981204.9851892,0.0,0.0,0.0,1.0
1756981204.9852061,0.0,0.0,0.0,1.0
1756981204.9852235,0.0,0.0,0.0,1.0
1756981204.9852405,0.0,0.0,0.0,1.0
1756981205.0053458,0.0,0.0,0.0,1.0
1756981205.0053813,0.0,0.0,0.0,1.0
1756981205.005404,0.0,0.0,0.0,1.0
1756981205.005422,0.0,0.0,0.0,1.0
1756981205.0054393,0.0,0.0,0.0,1.0
1756981205.0054567,0.0,0.0,0.0,1.0
1756981205.005474,0.0,0.0,0.0,1.0
1756981205.0252635,0.0,0.0,0.0,1.0
1756981205.0253108,0.0,0.0,0.0,1.0
1756981205.025346,0.0,0.0,0.0,1.0
1756981205.0253744,0.0,0.0,0.0,1.0
1756981205.0254023,0.0,0.0,0.0,1.0
1756981205.025429,0.0,0.0,0.0,1.0
1756981205.0254557,0.0,0.0,0.0,1.0
1756981205.042457,0.0,0.0,0.0,1.0
1756981205.0425355,0.0,0.0,0.0,1.0
1756981205.0425649,0.0,0.0,0.0,1.0
1756981205.0425925,0.0,0.0,0.0,1.0
1756981205.0426192,0.0,0.0,0.0,1.0
1756981205.0426455,0.0,0.0,0.0,1.0
1756981205.0426743,0.0,0.0,0.0,1.0
1756981205.063434,0.0,0.0,0.0,1.0
1756981205.0634825,0.0,0.0,0.0,1.0
1756981205.0635204,0.0,0.0,0.0,1.0
1756981205.0635388,0.0,0.0,0.0,1.0
1756981205.0635567,0.0,0.0,0.0,1.0
1756981205.0635734,0.0,0.0,0.0,1.0
1756981205.0635915,0.0,0.0,0.0,1.0
1756981205.0795314,0.0,0.0,0.0,1.0
1756981205.1042962,0.0,0.0,0.0,1.0
1756981205.104331,0.0,0.0,0.0,1.0
1756981205.1043494,0.0,0.0,0.0,1.0
1756981205.1043663,0.0,0.0,0.0,1.0
1756981205.1043828,0.0,0.0,0.0,1.0
1756981205.1043997,0.0,0.0,0.0,1.0
1756981205.1044168,0.0,0.0,0.0,1.0
1756981205.1143575,0.0,0.0,0.0,1.0
1756981205.1144106,0.0,0.0,0.0,1.0
1756981205.1144423,0.0,0.0,0.0,1.0
1756981205.114471,0.0,0.0,0.0,1.0
1756981205.1144986,0.0,0.0,0.0,1.0
1756981205.1145415,0.0,0.0,0.0,1.0
1756981205.1146019,0.0,0.0,0.0,1.0
1756981205.1234064,0.0,0.0,0.0,1.0
1756981205.1234646,0.0,0.0,0.0,1.0
1756981205.1234858,0.0,0.0,0.0,1.0
1756981205.1235037,0.0,0.0,0.0,1.0
1756981205.1235309,0.0,0.0,0.0,1.0
1756981205.1235485,0.0,0.0,0.0,1.0
1756981205.1235664,0.0,0.0,0.0,1.0
1756981205.1434686,0.0,0.0,0.0,1.0
1756981205.1435404,0.0,0.0,0.0,1.0
1756981205.143629,0.0,0.0,0.0,1.0
1756981205.1436603,0.0,0.0,0.0,1.0
1756981205.1436894,0.0,0.0,0.0,1.0
1756981205.1437168,0.0,0.0,0.0,1.0
1756981205.143743,0.0,0.0,0.0,1.0
1756981205.16472,0.0,0.0,0.0,1.0
1756981205.1647544,0.0,0.0,0.0,1.0
1756981205.1647725,0.0,0.0,0.0,1.0
1756981205.1647894,0.0,0.0,0.0,1.0
1756981205.164806,0.0,0.0,0.0,1.0
1756981205.1648226,0.0,0.0,0.0,1.0
1756981205.1648486,0.0,0.0,0.0,1.0
1756981205.1792421,0.0,0.0,0.0,1.0
1756981205.1930156,0.0,0.0,0.0,1.0
1756981205.193036,0.0,0.0,0.0,1.0
1756981205.1930456,0.0,0.0,0.0,1.0
1756981205.1930535,0.0,0.0,0.0,1.0
1756981205.1930616,0.0,0.0,0.0,1.0
1756981205.193069,0.0,0.0,0.0,1.0
1756981205.1930768,0.0,0.0,0.0,1.0
1756981205.2121692,0.0,0.0,0.0,1.0
1756981205.2121823,0.0,0.0,0.0,1.0
1756981205.2121916,0.0,0.0,0.0,1.0
1756981205.2122128,0.0,0.0,0.0,1.0
1756981205.212229,0.0,0.0,0.0,1.0
1756981205.212237,0.0,0.0,0.0,1.0
1756981205.2122457,0.0,0.0,0.0,1.0
1756981205.236782,0.0,0.0,0.0,1.0
1756981205.2368505,0.0,0.0,0.0,1.0
1756981205.236885,0.0,0.0,0.0,1.0
1756981205.2369146,0.0,0.0,0.0,1.0
1756981205.236944,0.0,0.0,0.0,1.0
1756981205.2369707,0.0,0.0,0.0,1.0
1756981205.236998,0.0,0.0,0.0,1.0
1756981205.2562015,0.0,0.0,0.0,1.0
1756981205.2562225,0.0,0.0,0.0,1.0
1756981205.256231,0.0,0.0,0.0,1.0
1756981205.2562394,0.0,0.0,0.0,1.0
1756981205.2562468,0.0,0.0,0.0,1.0
1756981205.2562547,0.0,0.0,0.0,1.0
1756981205.2562628,0.0,0.0,0.0,1.0
1756981205.2642615,0.0,0.0,0.0,1.0
1756981205.2643232,0.0,0.0,0.0,1.0
1756981205.2643542,0.0,0.0,0.0,1.0
1756981205.2643807,0.0,0.0,0.0,1.0
1756981205.2644067,0.0,0.0,0.0,1.0
1756981205.2644327,0.0,0.0,0.0,1.0
1756981205.2644644,0.0,0.0,0.0,1.0
1756981205.2791264,0.0,0.0,0.0,1.0
1756981205.2846982,0.0,0.0,0.0,1.0
1756981205.2847552,0.0,0.0,0.0,1.0
1756981205.2847865,0.0,0.0,0.0,1.0
1756981205.2848141,0.0,0.0,0.0,1.0
1756981205.2848399,0.0,0.0,0.0,1.0
1756981205.2848656,0.0,0.0,0.0,1.0
1756981205.2848916,0.0,0.0,0.0,1.0
